caldt,vwretd,vwretx,sprtrn
19260130,0.000561,-0.001395,0.022472
19260227,-0.033046,-0.036587,-0.043956
19260331,-0.064002,-0.070021,-0.059113
19260430,0.037029,0.034043,0.022688
19260528,0.012095,0.008585,0.007679
19260630,0.053664,0.046189,0.043184
19260731,0.031411,0.029224,0.045455
19260831,0.028647,0.025358,0.017081
19260930,0.005787,0.000030,0.022901
19261030,-0.028996,-0.031069,-0.031343
19261130,0.028554,0.022979,0.022342
19261231,0.029211,0.021422,0.016579
19270131,0.002416,0.000053,-0.020756
19270228,0.045370,0.041175,0.047691
19270331,0.003756,-0.002242,0.006503
19270430,0.007225,0.005134,0.017229
19270531,0.057773,0.053623,0.052223
19270630,-0.021087,-0.027406,-0.009390
19270730,0.075279,0.072869,0.064997
19270831,0.022490,0.018438,0.044501
19270930,0.049924,0.045003,0.043214
19271031,-0.040770,-0.042594,-0.053092
19271130,0.068453,0.063299,0.067776
19271231,0.023782,0.018206,0.019042
19280131,-0.003340,-0.005101,-0.005096
19280229,-0.014478,-0.018119,-0.017644
19280331,0.090478,0.085582,0.108343
19280430,0.043846,0.042082,0.032410
19280531,0.017690,0.013950,0.012658
19280630,-0.045245,-0.050289,-0.040500
19280731,0.009400,0.007626,0.012507
19280831,0.070206,0.066186,0.074112
19280929,0.031498,0.028040,0.023958
19281031,0.019228,0.017650,0.014506
19281130,0.121500,0.116383,0.119926
19281231,0.005557,0.001348,0.002883
19290131,0.053935,0.052346,0.057084
19290228,-0.000446,-0.003386,-0.005828
19290328,-0.007808,-0.011795,-0.002345
19290430,0.017179,0.015795,0.016060
19290531,-0.059923,-0.063970,-0.042791
19290629,0.101573,0.098075,0.112364
19290731,0.045958,0.044149,0.045619
19290830,0.085343,0.081953,0.097992
19290930,-0.050455,-0.053236,-0.048880
19291031,-0.196684,-0.198513,-0.199271
19291127,-0.123812,-0.127992,-0.133747
19291231,0.016390,0.010773,0.025335
19300131,0.058407,0.055806,0.062471
19300228,0.028242,0.024348,0.021501
19300331,0.074631,0.070571,0.079897
19300430,-0.020541,-0.022460,-0.009547
19300529,-0.014010,-0.017611,-0.016466
19300630,-0.159980,-0.164259,-0.164557
19300731,0.041964,0.039529,0.036657
19300829,0.003663,-0.000581,0.007544
19300930,-0.124805,-0.129438,-0.130089
19301031,-0.086579,-0.089129,-0.088757
19301129,-0.028057,-0.031917,-0.021842
19301231,-0.077739,-0.084436,-0.074231
19310131,0.063780,0.061058,0.048892
19310228,0.109695,0.104770,0.114357
19310331,-0.062866,-0.067999,-0.069158
19310430,-0.100219,-0.102367,-0.095866
19310529,-0.133836,-0.138385,-0.137177
19310630,0.140340,0.133177,0.139017
19310731,-0.066438,-0.069027,-0.074174
19310831,0.003078,-0.001547,0.009468
19310930,-0.291731,-0.296941,-0.299423
19311031,0.081509,0.078213,0.084449
19311130,-0.088402,-0.094908,-0.097816
19311231,-0.134971,-0.143493,-0.145263
19320130,-0.010534,-0.012963,-0.028325
19320229,0.057663,0.050590,0.050697
19320331,-0.110599,-0.117978,-0.118215
19320430,-0.179417,-0.182032,-0.202462
19320531,-0.206198,-0.212804,-0.233276
19320630,-0.004289,-0.015854,-0.008949
19320730,0.340643,0.338162,0.376975
19320831,0.371388,0.365313,0.375410
19320930,-0.028649,-0.034609,-0.036949
19321031,-0.132553,-0.134024,-0.138614
19321130,-0.058260,-0.063512,-0.058908
19321231,0.045227,0.036537,0.051908
19330131,0.009813,0.007889,0.007257
19330228,-0.153204,-0.158071,-0.184438
19330331,0.033105,0.025030,0.033569
19330429,0.394143,0.392133,0.422222
19330531,0.213261,0.209702,0.158654
19330630,0.133364,0.128762,0.131743
19330731,-0.096341,-0.097262,-0.087993
19330831,0.121285,0.118881,0.114573
19330930,-0.105836,-0.109931,-0.113616
19331031,-0.083650,-0.085047,-0.088505
19331129,0.099896,0.094806,0.102679
19331230,0.017876,0.013525,0.022267
19340131,0.126779,0.125078,0.105941
19340228,-0.024287,-0.027694,-0.036705
19340331,0.004425,0.000179,-0.000929
19340430,-0.018345,-0.019743,-0.026977
19340531,-0.072273,-0.075352,-0.081262
19340630,0.025344,0.020823,0.020812
19340731,-0.109363,-0.111130,-0.115189
19340831,0.057043,0.051711,0.054147
19340929,-0.002362,-0.006753,-0.005464
