caldt,spindx,sprtrn
1962-07-03,56.49,0.011278
1962-07-05,56.81,0.005665
1962-07-06,56.17,-0.011266
1962-07-09,56.55,0.006765
1962-07-10,57.20,0.011494
1962-07-11,57.73,0.009266
1962-07-12,58.03,0.005197
1962-07-13,57.83,-0.003446
1962-07-16,57.83,0.000000
1962-07-17,56.78,-0.018157
1962-07-18,56.20,-0.010215
1962-07-19,56.42,0.003915
1962-07-20,56.81,0.006912
1962-07-23,56.80,-0.000176
1962-07-24,56.36,-0.007746
1962-07-25,56.46,0.001774
1962-07-26,56.77,0.005491
1962-07-27,57.20,0.007574
1962-07-30,57.83,0.011014
1962-07-31,58.23,0.006917
1962-08-01,57.75,-0.008243
1962-08-02,57.98,0.003983
1962-08-03,58.12,0.002415
1962-08-06,57.75,-0.006366
1962-08-07,57.36,-0.006753
1962-08-08,57.51,0.002615
1962-08-09,57.47,-0.000696
1962-08-10,57.55,0.001392
1962-08-13,57.63,0.001390
1962-08-14,58.25,0.010758
1962-08-15,58.66,0.007039
1962-08-16,58.64,-0.000341
1962-08-17,59.01,0.006310
1962-08-20,59.37,0.006101
1962-08-21,59.12,-0.004211
1962-08-22,59.78,0.011164
1962-08-23,59.70,-0.001338
1962-08-24,59.58,-0.002010
1962-08-27,59.55,-0.000504
1962-08-28,58.79,-0.012762
1962-08-29,58.66,-0.002211
1962-08-30,58.68,0.000341
1962-08-31,59.12,0.007498
1962-09-04,58.56,-0.009472
1962-09-05,58.12,-0.007514
1962-09-06,58.36,0.004129
1962-09-07,58.38,0.000343
1962-09-10,58.45,0.001199
1962-09-11,58.59,0.002395
1962-09-12,58.84,0.004267
1962-09-13,58.70,-0.002379
1962-09-14,58.89,0.003237
1962-09-17,59.08,0.003226
1962-09-18,59.03,-0.000846
1962-09-19,58.95,-0.001355
1962-09-20,58.54,-0.006955
1962-09-21,57.69,-0.014520
1962-09-24,56.63,-0.018374
1962-09-25,56.96,0.005827
1962-09-26,56.15,-0.014221
1962-09-27,55.77,-0.006768
1962-09-28,56.27,0.008965
1962-10-01,55.49,-0.013862
1962-10-02,56.10,0.010993
1962-10-03,56.16,0.001070
1962-10-04,56.70,0.009615
1962-10-05,57.07,0.006526
1962-10-08,57.07,0.000000
1962-10-09,57.20,0.002278
1962-10-10,57.24,0.000699
1962-10-11,57.05,-0.003319
1962-10-12,56.95,-0.001753
1962-10-15,57.27,0.005619
1962-10-16,57.08,-0.003318
1962-10-17,56.89,-0.003329
1962-10-18,56.34,-0.009668
1962-10-19,55.59,-0.013312
1962-10-22,54.96,-0.011333
1962-10-23,53.49,-0.026747
1962-10-24,55.21,0.032156
1962-10-25,54.69,-0.009419
1962-10-26,54.54,-0.002743
1962-10-29,55.72,0.021636
1962-10-30,56.54,0.014716
1962-10-31,56.52,-0.000354
1962-11-01,57.12,0.010616
1962-11-02,57.75,0.011029
1962-11-05,58.35,0.010390
1962-11-07,58.71,0.006170
1962-11-08,58.32,-0.006643
1962-11-09,58.78,0.007888
1962-11-12,59.59,0.013780
1962-11-13,59.46,-0.002182
1962-11-14,60.16,0.011773
1962-11-15,59.97,-0.003158
1962-11-16,60.16,0.003168
1962-11-19,59.82,-0.005652
1962-11-20,60.45,0.010532
1962-11-21,60.81,0.005955
1962-11-23,61.54,0.012005
1962-11-26,61.36,-0.002925
1962-11-27,61.73,0.006030
1962-11-28,62.12,0.006318
1962-11-29,62.41,0.004668
1962-11-30,62.26,-0.002403
1962-12-03,61.94,-0.005140
1962-12-04,62.64,0.011301
1962-12-05,62.89,0.003991
1962-12-06,62.93,0.000636
1962-12-07,63.06,0.002066
1962-12-10,62.27,-0.012528
1962-12-11,62.32,0.000803
1962-12-12,62.63,0.004974
1962-12-13,62.42,-0.003353
1962-12-14,62.57,0.002403
1962-12-17,62.37,-0.003196
1962-12-18,62.07,-0.004810
1962-12-19,62.58,0.008217
1962-12-20,62.82,0.003835
1962-12-21,62.64,-0.002865
1962-12-24,62.63,-0.000160
1962-12-26,63.02,0.006227
1962-12-27,62.93,-0.001428
1962-12-28,62.96,0.000477
1962-12-31,63.10,0.002224
1963-01-02,62.69,-0.006498
1963-01-03,63.72,0.016430
1963-01-04,64.13,0.006434
1963-01-07,64.12,-0.000156
1963-01-08,64.74,0.009669
1963-01-09,64.59,-0.002317
1963-01-10,64.71,0.001858
1963-01-11,64.85,0.002164
1963-01-14,65.20,0.005397
1963-01-15,65.11,-0.001380
1963-01-16,64.67,-0.006758
1963-01-17,65.13,0.007113
1963-01-18,65.18,0.000768
1963-01-21,65.28,0.001534
1963-01-22,65.44,0.002451
1963-01-23,65.62,0.002751
1963-01-24,65.75,0.001981
1963-01-25,65.92,0.002586
1963-01-28,66.24,0.004854
1963-01-29,66.23,-0.000151
1963-01-30,65.85,-0.005738
1963-01-31,66.20,0.005315
1963-02-01,66.31,0.001662
1963-02-04,66.17,-0.002111
1963-02-05,66.11,-0.000907
1963-02-06,66.40,0.004387
1963-02-07,66.17,-0.003464
1963-02-08,66.17,0.000000
1963-02-11,65.76,-0.006196
1963-02-12,65.83,0.001064
